age,engine,mileage,price,brand_Audi,brand_Citroën,brand_Fiat,brand_Honda,brand_Hyundai,brand_Jaguar,brand_Kia,brand_Mazda,brand_Mercedes,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Peugeot,brand_Porsche,brand_Renault,brand_Smart,brand_Tesla,brand_Toyota,brand_VW,brand_Volvo
2,64.0,11.14,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,4.0,13.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,80.0,8.5,13.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,80.0,375.0,13.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,110.0,1.2,24.685,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,67.0,10.988,11.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,100.0,7.5,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,100.0,25.0,26.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,300.0,4.2,69.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,460.0,9.9,169.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,230.0,6.086,69.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,1.995,58.349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100.0,8.306,21.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,230.0,7.747,67.925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,110.0,7.821,24.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100.0,600.0,26.971,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,11.9,74.879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,80.0,4.5,23.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,4.489,66.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,10.049,66.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,2.525,65.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,9.201,65.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230.0,8.221,65.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,265.0,5.72,68.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
